Artist,SongTitle,AlbumTitle,Genre,Price,CriticRating
Post Malone,rockstar,Morrow Centers,Country,13.89,9.9
Lil Pump,Gucci Gang,Shepherd Ville,RNB,6.89,9.89
Camila Cabello,Havana,Collins Ways,Reggae,8.99,9.88
Sam Smith,Too Good At Goodbyes,Hayes Plain,Folk,13.89,9.87
Post Malone,I Fall Apart,Rachel Creek,Pop,19.89,9.86
21 Savage,Bank Account,Christopher Freeway,Classical,8.99,9.85
Logic,1-800-273-8255,Ashlee Avenue,Reggae,5.89,9.84
Cardi B,Bodak Yellow,Bruce Walks,Reggae,19.99,9.83
21 Savage,Ghostface Killers,Joseph Hill,Country,0.99,9.82
Lil Uzi Vert,XO TOUR Llif3,Raymond Curve,Pop,12.99,9.81
Khalid,Young Dumb & Broke,Andersen Junctions,RNB,19.89,9.8
Maroon 5,What Lovers Do (feat. SZA),Melissa Islands,Folk,1.89,9.79
Migos,MotorSport,Hammond Drive,Country,17.89,9.78
G-Eazy,No Limit,Obrien View,Classical,19.89,9.77
Gucci Mane,I Get The Bag (feat. Migos),Johnny Trafficway,Classical,9.89,9.76
Selena Gomez,Wolves,Kyle Streets,Reggae,16.99,9.75
Post Malone,Congratulations,Williams Valley,Reggae,5.99,9.74
Dua Lipa,New Rules,Davis Junction,Rock,12.99,9.73
A$AP Ferg,Plain Jane,Meza Gateway,Classical,9.99,9.72
Demi Lovato,Sorry Not Sorry,Steven Islands,Country,12.99,9.71
Marshmello,Silence,Moody Wall,Folk,11.89,9.7
NF,Let You Down,Scott Isle,Pop,17.99,9.69
Ed Sheeran,Perfect,Brenda Burg,Pop,14.99,9.68
Offset,Ric Flair Drip,Jacob Circles,Rock,18.99,9.67
Post Malone,Candy Paint,Walker Pass,Classical,10.99,9.66
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),Wilson Shoals,Reggae,12.99,9.65
Kendrick Lamar,HUMBLE.,Rachel Manor,Rock,11.99,9.64
Portugal. The Man,Feel It Still,Tyler Turnpike,Folk,17.89,9.63
French Montana,Unforgettable,Kimberly Trail,Jazz,12.89,9.62
Travis Scott,Butterfly Effect,Flores Extension,Folk,8.99,9.61
Halsey,Bad At Love,Katherine Unions,Pop,15.99,9.6
XXXTENTACION,Jocelyn Flores,Thomas Orchard,Country,15.99,9.59
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Taylor Summit,Reggae,12.89,9.58
Taylor Swift,Call It What You Want,Henson Turnpike,RNB,11.99,9.57
Travis Scott,goosebumps,Johnathan Stream,Folk,1.99,9.56
Sam Smith,Pray,Espinoza Fall,Jazz,6.89,9.55
Kodak Black,Roll In Peace (feat. XXXTENTACION),Cruz Roads,Jazz,5.99,9.54
Yo Gotti,Rake It Up,Fox Crescent,Folk,1.99,9.53
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),Love Drive,Reggae,14.89,9.52
Migos,Slippery (feat. Gucci Mane),Ross Wall,Folk,1.99,9.51
Khalid,Location,Nichols Meadows,Folk,12.99,9.5
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),Kent Mountain,Jazz,9.89,9.49
Charlie Puth,How Long,Morrison Forks,Country,16.89,9.48
Imagine Dragons,Thunder,Ayers Way,Reggae,3.89,9.47
XXXTENTACION,Fuck Love (feat. Trippie Redd),Anthony Ways,Rock,16.99,9.46
ZAYN,Dusk Till Dawn - Radio Edit,Christopher Lake,Folk,8.89,9.45
Post Malone,Go Flex,Christine Plain,Jazz,8.89,9.44
Tay-K,The Race,Joseph Spurs,Folk,18.89,9.43
21 Savage,Rap Saved Me,Bullock Mountains,Classical,5.99,9.42
21 Savage,My Choppa Hate Niggas,Victoria Ridges,Pop,2.89,9.41
Macklemore,Glorious (feat. Skylar Grey),Wallace Stream,Folk,13.89,9.4
Kendrick Lamar,LOVE. FEAT. ZACARI.,Diaz Highway,Folk,10.99,9.39
Kygo,Stargazing,Peters Village,Country,12.99,9.38
Lil Uzi Vert,Sauce It Up,Lowe Springs,Classical,8.89,9.37
Imagine Dragons,Believer,Callahan Way,Country,19.89,9.36
J Balvin,Mi Gente,Timothy Villages,Country,14.89,9.35
Kodak Black,Transportin',Robbins Meadows,Reggae,13.89,9.34
Playboi Carti,Magnolia,Robert Prairie,Folk,17.99,9.33
Taylor Swift,Look What You Made Me Do,Angela Loaf,Classical,9.99,9.32
Kendrick Lamar,DNA.,Joshua Drive,Jazz,8.99,9.31
SZA,Love Galore,Misty Keys,Pop,2.99,9.3
Maroon 5,Wait,Rivers Fields,Classical,1.99,9.29
Charlie Puth,Attention,Jason Club,RNB,6.99,9.28
J Balvin,Mi Gente (feat. Beyoncí©),Hill Tunnel,Pop,8.89,9.27
Future,Mask Off,Brown Via,Jazz,12.89,9.26
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Nancy Terrace,Jazz,4.89,9.25
